日付,レギュラーガソリン価格(\/L),原油価格($/bbl),月中平均為替相場（USD/JPY）,c重油価格(\/kL),輸入物価指数（b重油・c重油）,輸入物価指数（原油）
2020年9月,135,40.6,105.67,37300,89.1,102.4
2020年10月,133,39.9,105.21,37550,89,95
2020年11月,131,42.3,104.4,37550,91.1,90
2020年12月,134,48.73,103.83,37550,98.1,96.2
2021年1月,136,53.6,103.7,45650,108.6,109.1
2021年2月,141,60.46,105.38,45650,124.1,122.8
2021年3月,147,63.83,108.7,45650,137.2,141.4
2021年4月,150,62.95,109.1,53860,141,149.9
2021年5月,151,66.4,109.13,53860,141.8,148.2
2021年6月,153,71.8,110.09,53860,147.4,157.6
2021年7月,158,73.28,110.26,58610,154.1,164.9
2021年8月,158,68.87,109.82,58610,152.5,168.3
2021年9月,158,72.8,110.2,58610,156.2,167.1
2021年10月,163,82.06,113.09,65430,168.3,179.2
2021年11月,168,79.92,114.03,65430,177.7,192.4
2021年12月,164,72.87,113.88,65430,179.6,191.2
2022年1月,166,83.92,114.84,71110,187.1,188.3
2022年2月,170,93.54,115.16,71110,201.5,207.3
2022年3月,173,112.4,118.54,71110,236.9,223.3
2022年4月,172,103.41,126.13,100260,272.1,282.6
2022年5月,168,110.1,128.68,100260,298.5,286.4
2022年6月,170,116.8,133.85,100260,337.1,322.3
2022年7月,170,105.08,136.7,102709,341.5,328.2
2022年8月,167,95.97,135.28,102709,291.9,312.8
2022年9月,168,88.22,143.09,102709,274,323.6
2022年10月,166,90.33,147.16,95980,272.4,314.8
2022年11月,167,87.38,142.17,95980,251.2,290
2022年12月,167,78.07,134.85,95980,222.9,260.3
,,,,,,
